Algèbre avancée -- Intégralité
Shuffle questions : True
Q/R & R/Q : False
\DeclareMathOperator{\oldFrac}{Frac}\def\Frac#1{\oldFrac\l#1\r}\usepackage{polynomes}
$B$ est une extension de $A$;;$A$ est un sous-anneau de $B$
$B$ est une $A$-algèbre;;Morphisme d'anneaux de $A$ dans $B$
$B$ est fini sur $A$;;$B$ est un $A$-module de type fini
$x\in B$ est fini sur $A$;;$A\lc x\rc\subset B$ est fini sur $A$
$x\in B$ est entier sur $A$;;Il existe $P\in A\lc X\rc$ unitaire tel que $P\l x\r$
$B$ est entier sur $A$;;Tout $x\in B$ est entier sur $A$
CNS pour avoir $x\in B$ entier sur $A$;;$x$ est fini sur $A$\linebreak Il existe un sous-anneau $B'$ de $B$ contenant $A$ et $x$ tel que $B'$ est fini sur $A$
Stabilité des extensions entières et finies et des éléments entiers;;Si $B$ est entière/finie sur $A$ et $C$ est entière/finie sur $B$ alors $C$ est entière/finie sur $A$\linebreak Si $x$ et $y$ sont entiers sur $A$ alors $xy$ et $x-y$ sont entiers sur $A$\linebreak En particulier, $\set{x\in B,x\text{ est entier sur} A}$ est un sous-anneau de $B$ contenant $A$
Fermeture intégrale de $A$ dans $B$\linebreak$A$ est intégralement fermé;;$C=\set{x\in B,x\text{ est entier sur} A}$ est la fermeture intégrale de $A$ dans $B$\linebreak$A$ est intégralement fermé dans $B$ si $A=C$\linebreak En particulier, $C$ est intégralement fermé dans $B$
$A$ est intégralement clos\linebreak Normalisé de $A$;;$A$ est un anneau intègre et $A$ est intégralement fermé dans $\Frac A$\linebreak Le normalisé de $A$ est la fermeture intégrale de $A$ dans $\Frac A$, c'est un anneau intégralement clos
$x\in\mathbb L$ avec $\mathbb L/\Frac A=\mathbb K$ finie est entier sur $A$ intégralement clos;;$\mu_{\mathbb K,x}\in A\lc X\rc$
Propriété des éléments entiers d'un anneau factoriels;;Les anneaux factoriels sont intégralement clos
Localisation des extensions entières et fermetures intégrales;;Si $B$ est entier sur $A$ alors $S^{-1}B$ est entier sur $S^{-1}A$\linebreak Si $C$ est la fermeture intégrale de $A$ dans $B$ alors $S^{-1}C$ est la fermeture intégrale de $S^{-1}A$ dans $S^{-1}B$
CNS pour $A$ intégralement clos sur les idéaux premiers et maximaux;;$A$ est intégralement clos\linebreak Si et seulement si, pour tout idéal ${\mathfrak p}$ premier, $A_{\mathfrak p}$ est intégralement clos\linebreak Si et seulement si, pour tout idéal maximal ${\mathfrak m}$, $A_{\mathfrak m}$ est intégralement clos
$\l a_1,\cdots,a_n\r\in A^n$ sont linéairement indépendants sur $\mathbb k$ avec $A$ une $\mathbb k$-algèbre;;Pour tout $P\in\pol k{X_1,\cdots,X_n}$, si $P\l a_1,\cdots,a_n\r=0$ alors $P=0$
Théorème de normalisation de Noether;;Si $A$ est une $\mathbb k$-algèbre de type fini alors il existe $n\in\mathbb N$ et $\l x_1,\cdots,x_n\r\in A^n$ algèbriquement indépendants sur $\mathbb k$ tels que $A$ est finie sur $\pol k{x_1,\cdots,x_n}$\linebreak$n$ est unique, et si $A$ est engendré par $m$ éléments alors $n\leqslant m$
